最后一轮准确率： 0.8503378660215233 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'gated_cnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.8495036289313422 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'bert', 'max_length': 30, 'hidden_size': 768, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.0001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.878451655960624 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'bert', 'max_length': 30, 'hidden_size': 768, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'max', 'optimizer': 'adam', 'learning_rate': 0.0001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.8580962709602069 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'bert', 'max_length': 30, 'hidden_size': 768, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 128, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.0001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.8795361641778594 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'bert', 'max_length': 30, 'hidden_size': 768, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 128, 'pooling_style': 'max', 'optimizer': 'adam', 'learning_rate': 0.0001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.8515892216567948 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'lstm', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.8446650538082923 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'lstm', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'max', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.8375740385417536 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'lstm', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 128, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.8440810878451656 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'lstm', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 128, 'pooling_style': 'max', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.8173020772503545 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'lstm', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.0001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.8183031617585718 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'lstm', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'max', 'optimizer': 'adam', 'learning_rate': 0.0001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.71635938933845 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'lstm', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 128, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.0001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.7678318178026196 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'lstm', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 128, 'pooling_style': 'max', 'optimizer': 'adam', 'learning_rate': 0.0001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
